season,week,team,opponent_team,season_type,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,passing_first_downs,passing_epa,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_epa,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_fumbles_forced,def_tds,fg_made,fg_att,fg_long,pat_made,pat_att,penalties,penalty_yards,team_score,opponent_score,injury_impact_score,noteworthy_injuries_count
2025,3,SF,ARI,REG,27,41,284,1,1,1,14,1.5022151318471164,20,73,0,0,6,-4.746350501456151,1.0,4,0,5,1,0,3,3,51.0,1,1,5,69,16.0,15.0,28.5,6.0
2025,3,TB,NYJ,REG,19,29,233,1,0,1,12,8.269022356935064,34,122,0,0,5,-6.91463324007844,4.0,10,1,4,1,1,5,6,55.0,2,2,14,124,29.0,27.0,21.0,4.0
2025,3,TEN,IND,REG,23,38,219,1,1,4,11,-12.524410886228843,23,86,1,0,8,1.3147960329661146,0.0,2,0,3,0,0,2,4,57.0,2,2,8,68,20.0,41.0,23.0,7.0
2025,3,WAS,LV,REG,15,21,207,1,0,1,7,10.782450092576104,32,201,3,1,8,4.011520361507493,5.0,9,0,4,0,0,2,3,56.0,5,5,7,54,41.0,24.0,0.0,0.0
2025,4,ARI,SEA,REG,27,41,200,2,2,6,13,-3.3043997842296657,17,89,0,0,2,-1.8990376775618643,3.0,3,0,2,2,0,2,2,57.0,2,2,7,46,20.0,23.0,21.0,4.0
2025,4,ATL,WAS,REG,20,26,313,2,1,1,14,18.287676299231038,37,128,2,0,9,-3.5752406536119787,2.0,6,1,3,2,0,2,2,38.0,4,4,5,45,34.0,27.0,28.5,6.0
2025,4,BAL,KC,REG,23,33,199,1,1,3,10,-11.06896400887453,17,166,1,0,7,7.755338996881619,1.0,3,0,2,0,0,2,2,43.0,2,2,6,56,20.0,37.0,21.0,4.0
2025,4,BUF,NO,REG,16,22,209,2,1,3,10,4.917184796040829,32,165,2,0,10,3.6261143612209707,3.0,4,1,2,1,0,1,1,35.0,4,4,11,55,31.0,19.0,21.0,6.0
2025,4,CAR,NE,REG,23,36,208,2,0,1,11,0.9773629099533577,28,129,0,0,8,-2.5594697374035604,1.0,1,0,2,0,0,0,1,,1,2,5,29,13.0,42.0,13.5,2.0
2025,4,CHI,LV,REG,22,37,212,1,1,1,10,-1.120958017301945,26,69,1,0,7,-6.595607306687244,0.0,1,3,4,1,0,4,4,52.0,1,1,8,60,25.0,24.0,18.5,5.0
2025,4,CIN,DEN,REG,14,25,125,0,0,3,3,-10.354677599800777,15,53,0,0,3,-0.4126466710004024,0.0,1,1,2,0,0,1,1,26.0,0,0,11,65,3.0,28.0,18.0,5.0
2025,4,CLE,DET,REG,16,35,184,0,2,3,8,-21.16030394306809,27,79,1,0,7,-2.0744296844350174,0.0,5,1,1,0,0,1,2,33.0,1,1,6,44,10.0,34.0,21.5,6.0
2025,4,DAL,GB,REG,31,40,319,3,0,1,17,22.430883390743485,26,117,2,0,8,1.5595123074017465,1.0,4,0,1,1,0,1,1,22.0,5,5,11,95,40.0,40.0,15.0,4.0
2025,4,DEN,CIN,REG,29,42,326,2,1,0,17,13.279796198068652,38,186,2,0,13,3.948846878425684,3.0,6,0,2,0,0,0,0,,4,4,7,72,28.0,3.0,3.5,1.0
2025,4,DET,CLE,REG,16,27,168,2,1,0,8,-1.0221093465403952,29,109,1,0,6,-5.879154023510637,3.0,9,2,10,1,0,2,2,58.0,4,4,6,35,34.0,10.0,15.0,4.0
2025,4,GB,DAL,REG,31,43,337,3,0,1,16,21.450974295086887,35,164,2,0,12,5.172739584289957,1.0,4,0,4,0,0,2,2,53.0,4,5,7,53,40.0,40.0,15.0,4.0
2025,4,HOU,TEN,REG,22,28,233,2,0,2,9,8.211450432493871,35,129,1,0,10,1.6865984231252993,2.0,7,1,7,0,0,2,3,47.0,2,2,6,50,26.0,0.0,3.5,1.0
2025,4,IND,LA,REG,24,33,262,1,2,2,12,4.143268179661794,21,85,1,0,5,-1.488443431680011,3.0,9,0,4,1,0,2,2,52.0,2,2,11,88,20.0,27.0,11.5,3.0
2025,4,JAX,SF,REG,21,31,174,1,0,0,8,5.532238849337628,32,151,1,0,9,-2.40596433787141,1.0,3,2,4,3,0,2,3,44.0,2,2,12,90,26.0,21.0,13.5,4.0
2025,4,KC,BAL,REG,25,37,270,4,0,1,15,16.188958369112918,32,118,0,0,9,-0.5078700087615289,2.0,8,1,4,0,0,3,4,38.0,4,4,5,40,37.0,20.0,3.5,1.0
2025,4,LA,IND,REG,29,41,375,3,0,3,15,14.293764206603946,26,102,0,1,7,-11.335954757748333,2.0,7,2,5,1,0,2,2,42.0,3,3,7,63,27.0,20.0,0.0,0.0
2025,4,LAC,NYG,REG,23,41,203,1,2,2,8,-21.121796523494552,13,152,1,0,6,11.601862993135118,6.0,9,0,2,1,0,1,1,43.0,1,1,14,107,18.0,21.0,15.0,4.0
2025,4,LV,CHI,REG,14,21,117,2,3,0,6,-9.613629262534428,31,240,1,1,11,-0.3816133368853216,1.0,2,1,6,1,0,1,2,29.0,3,3,5,36,24.0,25.0,21.5,6.0
2025,4,MIA,NYJ,REG,17,25,177,2,0,0,12,10.377943898333484,31,123,1,0,7,-3.115480173886817,2.0,3,0,3,3,0,2,2,47.0,3,3,6,40,27.0,21.0,10.5,3.0
2025,4,MIN,PIT,REG,30,46,350,2,2,6,15,3.174312226501787,20,70,0,0,6,-0.059435999690322205,2.0,3,0,0,1,0,2,2,41.0,1,1,8,82,21.0,24.0,17.5,3.0
2025,4,NE,CAR,REG,14,18,203,2,0,1,8,18.421003764757188,29,104,3,0,8,-0.7788089113601018,1.0,4,0,2,1,0,0,0,,6,6,7,54,42.0,13.0,14.0,4.0
2025,4,NO,BUF,REG,18,28,126,1,1,3,7,-12.005072384404574,34,189,1,0,14,5.827199369932088,3.0,7,1,4,0,0,2,2,54.0,1,1,4,41,19.0,31.0,21.5,6.0
2025,4,NYG,LAC,REG,14,21,119,1,0,6,6,-6.70552748370217,42,161,1,0,12,-3.4659305497743227,2.0,12,2,7,0,0,2,2,31.0,1,1,8,43,21.0,18.0,25.0,7.0
2025,4,NYJ,MIA,REG,20,27,226,1,0,2,12,5.608728678049778,28,197,1,1,9,3.6039133949526585,0.0,0,0,3,1,0,2,2,58.0,1,1,13,101,21.0,27.0,28.0,6.0
2025,4,PHI,TB,REG,15,24,130,2,0,2,10,-1.2928640485042706,32,88,1,0,6,-2.992559434971749,2.0,1,1,13,2,0,1,1,39.0,4,4,8,83,31.0,25.0,17.5,5.0
2025,4,PIT,MIN,REG,18,22,200,1,0,2,6,3.799732759834968,29,131,2,0,11,4.948146642709617,6.0,14,2,8,2,0,1,2,33.0,3,3,5,35,24.0,21.0,17.0,3.0
2025,4,SEA,ARI,REG,18,26,242,1,0,3,11,9.92136531109626,35,155,1,0,8,-6.383653187288553,6.0,7,2,8,0,0,3,4,52.0,2,2,6,74,23.0,20.0,18.0,5.0
2025,4,SF,JAX,REG,22,38,309,2,2,1,17,3.371967635811135,24,83,0,0,3,-2.6413358681020327,0.0,0,0,2,1,0,2,2,26.0,1,1,5,54,21.0,26.0,28.5,6.0
